Name,Age,Nationality,Club,Value,Preferred_Foot,Jersey_Number,Height,Weight,Best_Position,Contract_Valid_Until,name_coach,avg_term_as_coach
19 Dani Alves,35,Brazil,Paris SG,€4.8M,Right,13,172cm,68kg,CAM,2019,Mauricio Pochettino,2.93 Years
M. Verratti,28,Italy,Paris SG,€79.5M,Right,6,165cm,60kg,CM,2024,Mauricio Pochettino,2.93 Years
A. Hakimi,22,Morocco,Paris SG,€69.5M,Right,2,181cm,73kg,RB,2026,Mauricio Pochettino,2.93 Years
Neymar Jr,29,Brazil,Paris SG,€129M,Right,10,175cm,68kg,LW,2025,Mauricio Pochettino,2.93 Years
A. Di María,33,Argentina,Paris SG,€49.5M,Left,11,180cm,69kg,RW,2022,Mauricio Pochettino,2.93 Years
L. Paredes,27,Argentina,Paris SG,€28M,Right,8,180cm,75kg,CM,2023,Mauricio Pochettino,2.93 Years
K. Mbappé,22,France,Paris SG,€194M,Right,7,182cm,73kg,ST,2022,Mauricio Pochettino,2.93 Years
Ander Herrera,31,Spain,Paris SG,€14.5M,Right,21,182cm,71kg,CDM,2024,Mauricio Pochettino,2.93 Years
Juan Bernat,28,Spain,Paris SG,€27.5M,Left,14,170cm,67kg,LB,2025,Mauricio Pochettino,2.93 Years
Rafinha,28,Brazil,Paris SG,€21M,Left,12,174cm,71kg,CM,2023,Mauricio Pochettino,2.93 Years
17 Maxwell,34,Brazil,Paris SG,€2.9M,Left,17,176cm,73kg,LWB,2017,Mauricio Pochettino,2.93 Years
I. Gueye,31,Senegal,Paris SG,€21.5M,Right,27,174cm,66kg,CDM,2023,Mauricio Pochettino,2.93 Years
J. Draxler,27,Germany,Paris SG,€22.5M,Right,23,187cm,77kg,CAM,2024,Mauricio Pochettino,2.93 Years
Marquinhos,27,Brazil,Paris SG,€90.5M,Right,5,183cm,75kg,CB,2024,Mauricio Pochettino,2.93 Years
L. Kurzawa,28,France,Paris SG,€7M,Left,20,182cm,74kg,LB,2024,Mauricio Pochettino,2.93 Years
Danilo Pereira,29,Portugal,Paris SG,€22M,Right,15,188cm,83kg,CDM,2025,Mauricio Pochettino,2.93 Years
Nuno Mendes,19,Portugal,Paris SG,€29M,Left,25,176cm,70kg,LWB,30-Jun-22,Mauricio Pochettino,2.93 Years
P. Kimpembe,25,France,Paris SG,€45.5M,Left,3,189cm,80kg,CB,2024,Mauricio Pochettino,2.93 Years
J. Dina Ebimbe,20,France,Paris SG,€5M,Right,36,175cm,66kg,CM,2023,Mauricio Pochettino,2.93 Years
18 T. Motta,34,Italy,Paris SG,€4.5M,Left,8,188cm,82kg,CDM,2018,Mauricio Pochettino,2.93 Years
M. Icardi,28,Argentina,Paris SG,€37M,Right,9,181cm,75kg,ST,2024,Mauricio Pochettino,2.93 Years
19 L. Diarra,33,France,Paris SG,€4.2M,Right,19,174cm,74kg,CDM,2019,Mauricio Pochettino,2.93 Years
C. Dagba,22,France,Paris SG,€10M,Right,17,170cm,62kg,RB,2024,Mauricio Pochettino,2.93 Years
A. Diallo,25,Senegal,Paris SG,€17.5M,Left,22,187cm,79kg,CB,2024,Mauricio Pochettino,2.93 Years
G. Belaud,34,France,Paris SG,€500K,Right,13,178cm,75kg,RB,2022,Mauricio Pochettino,2.93 Years
T. Kehrer,24,Germany,Paris SG,€10M,Right,24,186cm,76kg,CB,2023,Mauricio Pochettino,2.93 Years
21 F. Martin,30,France,Paris SG,€675K,Left,11,180cm,84kg,CAM,2021,Mauricio Pochettino,2.93 Years
M. Name,26,Senegal,Paris SG,€1.6M,Right,5,178cm,73kg,CM,2023,Mauricio Pochettino,2.93 Years
M. Gakpa,26,France,Paris SG,€1.4M,Left,10,179cm,72kg,CAM,2023,Mauricio Pochettino,2.93 Years
F. Hanin,31,France,Paris SG,€1.2M,Left,29,177cm,73kg,LB,2023,Mauricio Pochettino,2.93 Years
C. Mandouki,29,France,Paris SG,€1.2M,Right,14,179cm,76kg,CDM,2024,Mauricio Pochettino,2.93 Years
X. Simons,18,Netherlands,Paris SG,€2.2M,Right,34,168cm,58kg,CAM,2022,Mauricio Pochettino,2.93 Years
J. Lopez,29,Algeria,Paris SG,€1.4M,Right,20,173cm,68kg,LW,2022,Mauricio Pochettino,2.93 Years
C. Diakité,18,France,Paris SG,€2.5M,Right,28,173cm,63kg,CAM,2024,Mauricio Pochettino,2.93 Years
11 C. Makélelé,37,France,Paris SG,€ 0,Right,4,174cm,70kg,CDM,2011,Mauricio Pochettino,2.93 Years
B. Fadiga,20,France,Paris SG,€1.4M,Right,37,178cm,70kg,CAM,2022,Mauricio Pochettino,2.93 Years
S. Arab,20,France,Paris SG,€1.3M,Right,6,178cm,79kg,RM,2023,Mauricio Pochettino,2.93 Years
21 J. Pitroipa,34,Burkina Faso,Paris SG,€475K,Right,10,177cm,62kg,CAM,2021,Mauricio Pochettino,2.93 Years
T. Campanini,22,France,Paris SG,€1.3M,Right,27,179cm,79kg,CB,2022,Mauricio Pochettino,2.93 Years
E. Michut,18,France,Paris SG,€1.8M,Right,38,178cm,68kg,CAM,2025,Mauricio Pochettino,2.93 Years
G. Laura,25,France,Paris SG,€1.6M,Right,7,178cm,82kg,ST,2023,Mauricio Pochettino,2.93 Years
20 J. Ménez,32,France,Paris SG,€1.4M,Right,7,183cm,77kg,CAM,2020,Mauricio Pochettino,2.93 Years
Y. Demoncy,25,France,Paris SG,€1.3M,Right,8,180cm,68kg,CDM,2024,Mauricio Pochettino,2.93 Years
15 Z. Camara,35,France,Paris SG,€400K,Right,6,182cm,76kg,CB,2015,Mauricio Pochettino,2.93 Years
J. Hadjam,18,France,Paris SG,€725K,Left,3,184cm,83kg,LWB,2023,Mauricio Pochettino,2.93 Years
I. Gharbi,17,France,Paris SG,€1.2M,Right,35,167cm,58kg,CAM,2022,Mauricio Pochettino,2.93 Years
A. Gory,24,France,Paris SG,€1.6M,Right,11,182cm,72kg,ST,30-Jun-22,Mauricio Pochettino,2.93 Years
N. Bitumazala,18,France,Paris SG,€800K,Right,39,178cm,68kg,CDM,2023,Mauricio Pochettino,2.93 Years
A. Bamba,21,Côte d'Ivoire,Paris SG,€2.5M,Right,15,185cm,89kg,CB,2023,Mauricio Pochettino,2.93 Years
L. Diabyfadiga,20,France,Paris SG,€1.3M,Left,9,188cm,82kg,ST,2023,Mauricio Pochettino,2.93 Years
W. Caddy,24,France,Paris SG,€925K,Right,22,183cm,83kg,ST,2023,Mauricio Pochettino,2.93 Years
S. Chergui,22,France,Paris SG,€700K,Right,31,183cm,78kg,CDM,2022,Mauricio Pochettino,2.93 Years
20 Felipe Saad,35,Brazil,Paris SG,€200K,Left,23,187cm,83kg,CB,2020,Mauricio Pochettino,2.93 Years
M. Bernauer,23,France,Paris SG,€475K,Right,2,186cm,77kg,CB,2024,Mauricio Pochettino,2.93 Years
