Name,Age,Nationality,Club,Value,Preferred_Foot,Jersey_Number,Height,Weight,Best_Position,Contract_Valid_Until,name_coach,avg_term_as_coach
19 H. Bedimo,33,Cameroon,Marseille,€500K,Left,12,180cm,80kg,CB,2019,Jorge Sampaoli,1.22 Years
C. Ünder,23,Turkey,Marseille,€13.5M,Left,17,173cm,66kg,CAM,30-Jun-22,Jorge Sampaoli,1.22 Years
P. Gueye,22,France,Marseille,€14.5M,Left,22,187cm,79kg,CDM,2024,Jorge Sampaoli,1.22 Years
20 G. Sertic,29,France,Marseille,€775K,Right,22,183cm,76kg,CDM,2020,Jorge Sampaoli,1.22 Years
A. Harit,24,Morocco,Marseille,€9M,Right,7,180cm,67kg,CAM,30-Jun-22,Jorge Sampaoli,1.22 Years
Luis Henrique,19,Brazil,Marseille,€9M,Right,11,181cm,74kg,RM,2025,Jorge Sampaoli,1.22 Years
Álvaro,31,Spain,Marseille,€12M,Right,3,182cm,75kg,CB,2024,Jorge Sampaoli,1.22 Years
21 M. Aké,19,France,Marseille,€3.1M,Right,23,177cm,68kg,RM,2024,Jorge Sampaoli,1.22 Years
19 T. Hubočan,32,Slovakia,Marseille,€1M,Right,25,184cm,70kg,CB,2019,Jorge Sampaoli,1.22 Years
W. Saliba,20,France,Marseille,€15.5M,Right,2,192cm,85kg,CB,30-Jun-22,Jorge Sampaoli,1.22 Years
D. Ćaleta-Car,24,Croatia,Marseille,€19M,Right,15,192cm,89kg,CB,2023,Jorge Sampaoli,1.22 Years
C. Souaré,18,France,Marseille,€575K,Left,41,170cm,61kg,LM,2023,Jorge Sampaoli,1.22 Years
L. Balerdi,22,Argentina,Marseille,€9M,Right,5,187cm,76kg,CB,2024,Jorge Sampaoli,1.22 Years
Luan Peres,26,Brazil,Marseille,€2.7M,Left,14,190cm,79kg,CB,2025,Jorge Sampaoli,1.22 Years
21 K. Mitroglou,32,Greece,Marseille,€2.5M,Left,19,188cm,86kg,ST,2021,Jorge Sampaoli,1.22 Years
A. Dieng,20,Senegal,Marseille,€3.5M,Right,12,178cm,72kg,ST,2024,Jorge Sampaoli,1.22 Years
B. Nadir,17,France,Marseille,€550K,Left,45,179cm,62kg,CDM,2024,Jorge Sampaoli,1.22 Years
K. de la Fuente,19,United States,Marseille,€5M,Right,20,170cm,63kg,RM,2025,Jorge Sampaoli,1.22 Years
U. Bertelli,17,France,Marseille,€550K,Right,31,168cm,62kg,CM,2023,Jorge Sampaoli,1.22 Years
F. Tongya,19,Italy,Marseille,€575K,Right,32,181cm,75kg,RM,2025,Jorge Sampaoli,1.22 Years
J. Rahou,18,France,Marseille,€375K,Right,39,176cm,69kg,CAM,2023,Jorge Sampaoli,1.22 Years
O. Targhalline,19,Morocco,Marseille,€625K,Right,26,183cm,71kg,CM,2023,Jorge Sampaoli,1.22 Years
21 R. Richard,18,France,Marseille,€800K,Right,42,171cm,65kg,RB,2023,Jorge Sampaoli,1.22 Years
P. Sciortino,17,France,Marseille,€700K,Right,34,177cm,70kg,CDM,2024,Jorge Sampaoli,1.22 Years
S. Ben Seghir,18,France,Marseille,€750K,Right,42,174cm,57kg,RW,2024,Jorge Sampaoli,1.22 Years
E. Gebreyesus,17,Switzerland,Marseille,€1M,Right,37,187cm,71kg,RM,2025,Jorge Sampaoli,1.22 Years
A. Kamardin,19,France,Marseille,€725K,Right,38,183cm,72kg,CB,2023,Jorge Sampaoli,1.22 Years
Pau López,26,Spain,Marseille,€16.5M,Left,16,189cm,77kg,GK,30-Jun-22,Jorge Sampaoli,1.22 Years
S. Mandanda,36,France,Marseille,€2.9M,Right,30,185cm,82kg,GK,2024,Jorge Sampaoli,1.22 Years
21 Y. Pelé,37,France,Marseille,€250K,Right,16,196cm,89kg,GK,2021,Jorge Sampaoli,1.22 Years
S. Ngapandouetnbu,18,Cameroon,Marseille,€1.8M,Right,1,180cm,74kg,GK,2022,Jorge Sampaoli,1.22 Years
M. Nazaretian,20,Armenia,Marseille,€150K,Right,40,182cm,76kg,GK,2022,Jorge Sampaoli,1.22 Years
D. Caligiuri,33,Italy,FC Augsburg,€6.5M,Right,20,182cm,80kg,RM,2023,Markus Weinzierl,1.97 Years
N. Dorsch,23,Germany,FC Augsburg,€8M,Right,30,178cm,76kg,CDM,2026,Markus Weinzierl,1.97 Years
A. Hahn,30,Germany,FC Augsburg,€5.5M,Right,28,185cm,80kg,ST,2022,Markus Weinzierl,1.97 Years
R. Vargas,22,Switzerland,FC Augsburg,€12.5M,Right,16,179cm,68kg,RM,2025,Markus Weinzierl,1.97 Years
Iago,24,Brazil,FC Augsburg,€7.5M,Left,22,181cm,67kg,LB,2024,Markus Weinzierl,1.97 Years
J. Gouweleeuw,29,Netherlands,FC Augsburg,€6.5M,Right,6,188cm,83kg,CB,2024,Markus Weinzierl,1.97 Years
F. Niederlechner,30,Germany,FC Augsburg,€5.5M,Right,7,187cm,86kg,ST,2022,Markus Weinzierl,1.97 Years
A. Maier,22,Germany,FC Augsburg,€9.5M,Right,10,186cm,79kg,CM,30-Jun-22,Markus Weinzierl,1.97 Years
M. Gregoritsch,27,Austria,FC Augsburg,€2.5M,Left,11,193cm,91kg,ST,2022,Markus Weinzierl,1.97 Years
F. Jensen,23,Finland,FC Augsburg,€2.8M,Right,24,183cm,78kg,CAM,2023,Markus Weinzierl,1.97 Years
C. Gruezo,26,Ecuador,FC Augsburg,€2.8M,Right,8,173cm,71kg,CDM,2024,Markus Weinzierl,1.97 Years
M. Pedersen,24,Denmark,FC Augsburg,€1.7M,Left,3,174cm,72kg,LM,2024,Markus Weinzierl,1.97 Years
A. Finnbogason,32,Iceland,FC Augsburg,€2.5M,Right,27,184cm,80kg,ST,2022,Markus Weinzierl,1.97 Years
T. Strobl,31,Germany,FC Augsburg,€3M,Right,5,188cm,87kg,CDM,2023,Markus Weinzierl,1.97 Years
R. Gumny,23,Poland,FC Augsburg,€4M,Right,2,182cm,71kg,RWB,2025,Markus Weinzierl,1.97 Years
F. Uduokhai,23,Germany,FC Augsburg,€14.5M,Left,19,193cm,89kg,CB,2024,Markus Weinzierl,1.97 Years
R. Framberger,25,Germany,FC Augsburg,€2.3M,Right,32,179cm,76kg,RB,2024,Markus Weinzierl,1.97 Years
21 J. Schieber,31,Germany,FC Augsburg,€1M,Left,10,186cm,83kg,ST,2021,Markus Weinzierl,1.97 Years
N. Sarenren Bazee,24,Nigeria,FC Augsburg,€1.9M,Right,17,183cm,80kg,RW,2024,Markus Weinzierl,1.97 Years
A. Zeqiri,22,Switzerland,FC Augsburg,€2.3M,Left,21,185cm,80kg,ST,30-Jun-22,Markus Weinzierl,1.97 Years
R. Oxford,22,England,FC Augsburg,€3M,Right,36,193cm,86kg,CB,2023,Markus Weinzierl,1.97 Years
S. Córdova,23,Venezuela,FC Augsburg,€3.2M,Right,9,188cm,87kg,ST,2025,Markus Weinzierl,1.97 Years
19 J. Callsen-Bracker,33,Germany,FC Augsburg,€725K,Right,18,188cm,84kg,CB,2019,Markus Weinzierl,1.97 Years
T. Civeja,19,Germany,FC Augsburg,€850K,Right,41,180cm,73kg,CM,2022,Markus Weinzierl,1.97 Years
F. Schwarzholz,21,Germany,FC Augsburg,€525K,Right,46,181cm,75kg,CDM,2022,Markus Weinzierl,1.97 Years
L. Günther,19,Germany,FC Augsburg,€575K,Left,29,183cm,75kg,ST,2025,Markus Weinzierl,1.97 Years
F. Winther,20,Denmark,FC Augsburg,€825K,Left,26,186cm,78kg,CB,2025,Markus Weinzierl,1.97 Years
D. Berisha,18,Kosovo,FC Augsburg,€525K,Right,44,181cm,72kg,RM,2022,Markus Weinzierl,1.97 Years
Cheon Seong Hoon,19,Korea Republic,FC Augsburg,€500K,Right,48,190cm,79kg,ST,2023,Markus Weinzierl,1.97 Years
R. Gikiewicz,33,Poland,FC Augsburg,€5.5M,Right,1,190cm,81kg,GK,2023,Markus Weinzierl,1.97 Years
T. Koubek,28,Czech Republic,FC Augsburg,€1.5M,Right,40,197cm,95kg,GK,2024,Markus Weinzierl,1.97 Years
D. Klein,20,Germany,FC Augsburg,€475K,Right,25,192cm,89kg,GK,2025,Markus Weinzierl,1.97 Years
B. Bourigeaud,27,France,Stade Rennais,€16M,Right,14,178cm,68kg,CM,2023,Bruno Génésio,1.75 Years
G. Laborde,27,France,Stade Rennais,€24.5M,Left,24,181cm,78kg,ST,2025,Bruno Génésio,1.75 Years
H. Traoré,29,Mali,Stade Rennais,€15.5M,Right,27,175cm,71kg,RB,2023,Bruno Génésio,1.75 Years
21 C. Grenier,29,France,Stade Rennais,€5.5M,Right,8,187cm,79kg,CM,2021,Bruno Génésio,1.75 Years
L. Majer,23,Croatia,Stade Rennais,€16.5M,Left,21,179cm,75kg,LM,2026,Bruno Génésio,1.75 Years
B. Santamaria,26,France,Stade Rennais,€15.5M,Right,8,183cm,73kg,CDM,2025,Bruno Génésio,1.75 Years
B. Meling,26,Norway,Stade Rennais,€6.5M,Left,25,174cm,64kg,LWB,2024,Bruno Génésio,1.75 Years
J. Martin,31,France,Stade Rennais,€1.9M,Right,28,184cm,76kg,CM,2022,Bruno Génésio,1.75 Years
A. Truffert,19,France,Stade Rennais,€11.5M,Left,3,173cm,63kg,LB,2025,Bruno Génésio,1.75 Years
M. Terrier,24,France,Stade Rennais,€15.5M,Right,7,184cm,73kg,ST,2025,Bruno Génésio,1.75 Years
S. Guirassy,25,France,Stade Rennais,€15M,Right,9,187cm,82kg,ST,2025,Bruno Génésio,1.75 Years
F. Tait,28,France,Stade Rennais,€7.5M,Right,20,175cm,70kg,LM,2023,Bruno Génésio,1.75 Years
M. Niang,26,Senegal,Stade Rennais,€10M,Right,19,188cm,83kg,ST,2023,Bruno Génésio,1.75 Years
J. Doku,19,Belgium,Stade Rennais,€23M,Right,11,171cm,60kg,CAM,2025,Bruno Génésio,1.75 Years
N. Aguerd,25,Morocco,Stade Rennais,€9.5M,Left,6,188cm,76kg,CB,2024,Bruno Génésio,1.75 Years
K. Sulemana,19,Ghana,Stade Rennais,€5.5M,Right,10,174cm,69kg,LW,2026,Bruno Génésio,1.75 Years
L. Ugochukwu,17,France,Stade Rennais,€1.2M,Right,26,188cm,83kg,CM,2024,Bruno Génésio,1.75 Years
J. Gélin,24,France,Stade Rennais,€2.7M,Right,23,183cm,79kg,CDM,2022,Bruno Génésio,1.75 Years
L. Assignon,21,France,Stade Rennais,€950K,Right,31,179cm,67kg,RB,2025,Bruno Génésio,1.75 Years
L. Badé,21,France,Stade Rennais,€9M,Right,5,191cm,89kg,CB,2026,Bruno Génésio,1.75 Years
J. Kadile,18,France,Stade Rennais,€1.1M,Right,34,182cm,83kg,ST,2023,Bruno Génésio,1.75 Years
M. Güçlü,22,Turkey,Stade Rennais,€500K,Left,17,182cm,70kg,ST,2023,Bruno Génésio,1.75 Years
W. Omari,21,France,Stade Rennais,€825K,Right,32,185cm,78kg,CB,2024,Bruno Génésio,1.75 Years
A. Gomis,27,Senegal,Stade Rennais,€7M,Right,16,196cm,80kg,GK,2025,Bruno Génésio,1.75 Years
R. Salin,36,France,Stade Rennais,€350K,Left,1,189cm,76kg,GK,2022,Bruno Génésio,1.75 Years
D. Alemdar,18,Turkey,Stade Rennais,€2.4M,Right,40,189cm,73kg,GK,2026,Bruno Génésio,1.75 Years
P. Bonet,18,Congo DR,Stade Rennais,€975K,Right,30,193cm,94kg,GK,2022,Bruno Génésio,1.75 Years
O. Trejo,33,Argentina,Rayo Vallecano,€3.5M,Right,8,180cm,79kg,CAM,2023,Andoni Iraola,1.03 Years
Unai López,25,Spain,Rayo Vallecano,€14.5M,Right,12,170cm,69kg,CAM,2024,Andoni Iraola,1.03 Years
19 Elustondo,31,Spain,Rayo Vallecano,€2M,Right,6,184cm,79kg,CDM,2019,Andoni Iraola,1.03 Years
R. Nteka,23,France,Rayo Vallecano,€7M,Left,9,189cm,75kg,ST,2026,Andoni Iraola,1.03 Years
Isi,26,Spain,Rayo Vallecano,€8M,Left,7,169cm,71kg,RM,2023,Andoni Iraola,1.03 Years
Merquelanz,26,Spain,Rayo Vallecano,€5M,Left,17,176cm,72kg,CAM,30-Jun-22,Andoni Iraola,1.03 Years
Kévin Rodrigues,27,Portugal,Rayo Vallecano,€6M,Left,19,170cm,70kg,LB,30-Jun-22,Andoni Iraola,1.03 Years
Bebé,30,Portugal,Rayo Vallecano,€2.9M,Right,10,190cm,83kg,ST,2025,Andoni Iraola,1.03 Years
Falcao,35,Colombia,Rayo Vallecano,€6M,Right,3,177cm,72kg,ST,2022,Andoni Iraola,1.03 Years
Pozo,25,Spain,Rayo Vallecano,€4M,Right,22,171cm,67kg,CAM,2023,Andoni Iraola,1.03 Years
I. Balliu,29,Albania,Rayo Vallecano,€3.7M,Right,20,174cm,65kg,RB,2023,Andoni Iraola,1.03 Years
18 R. Raţ,36,Romania,Rayo Vallecano,€120K,Left,3,178cm,72kg,CB,2018,Andoni Iraola,1.03 Years
17 Jordi Gómez,31,Spain,Rayo Vallecano,€1.3M,Left,21,178cm,74kg,CAM,2023,Andoni Iraola,1.03 Years
Santi Comesaña,24,Spain,Rayo Vallecano,€4.4M,Right,6,184cm,75kg,CM,2023,Andoni Iraola,1.03 Years
Mario Suárez,34,Spain,Rayo Vallecano,€800K,Right,4,188cm,80kg,CDM,2022,Andoni Iraola,1.03 Years
Fran García,21,Spain,Rayo Vallecano,€5M,Left,33,167cm,69kg,LB,2025,Andoni Iraola,1.03 Years
21 L. Ulloa,33,Argentina,Rayo Vallecano,€1.2M,Right,9,188cm,89kg,ST,2021,Andoni Iraola,1.03 Years
20 Tito,33,Spain,Rayo Vallecano,€1.1M,Right,2,175cm,64kg,RB,2020,Andoni Iraola,1.03 Years
Álvaro García,28,Spain,Rayo Vallecano,€5.5M,Left,18,167cm,61kg,LM,2023,Andoni Iraola,1.03 Years
Sergi Guardiola,30,Spain,Rayo Vallecano,€2.3M,Left,16,184cm,78kg,ST,30-Jun-22,Andoni Iraola,1.03 Years
Óscar Valentín,26,Spain,Rayo Vallecano,€2.2M,Right,23,177cm,72kg,CDM,2023,Andoni Iraola,1.03 Years
P. Ciss,27,Senegal,Rayo Vallecano,€1.8M,Right,21,185cm,71kg,CB,2025,Andoni Iraola,1.03 Years
Andrés Martín,21,Spain,Rayo Vallecano,€3.2M,Left,11,170cm,66kg,ST,2024,Andoni Iraola,1.03 Years
Catena,26,Spain,Rayo Vallecano,€3.5M,Right,5,194cm,82kg,CB,2023,Andoni Iraola,1.03 Years
Y. Qasmi,30,Morocco,Rayo Vallecano,€1.2M,Left,14,184cm,79kg,ST,2022,Andoni Iraola,1.03 Years
Arratia,21,Spain,Rayo Vallecano,€800K,Right,31,185cm,76kg,CDM,2022,Andoni Iraola,1.03 Years
Manu Navarro,20,Spain,Rayo Vallecano,€775K,Right,38,174cm,65kg,CM,2022,Andoni Iraola,1.03 Years
N. Maraš,25,Serbia,Rayo Vallecano,€2.6M,Right,2,189cm,79kg,CB,30-Jun-22,Andoni Iraola,1.03 Years
21 E. Velázquez,26,Uruguay,Rayo Vallecano,€2.2M,Right,2,184cm,79kg,CB,2021,Andoni Iraola,1.03 Years
21 Moreno,18,Spain,Rayo Vallecano,€1.4M,Left,36,175cm,70kg,LM,2022,Andoni Iraola,1.03 Years
Iker Recio,20,Spain,Rayo Vallecano,€1.1M,Left,27,185cm,80kg,CB,2022,Andoni Iraola,1.03 Years
De Tomás,20,Spain,Rayo Vallecano,€950K,Right,37,172cm,68kg,RM,2023,Andoni Iraola,1.03 Years
Mario Hernández,22,Spain,Rayo Vallecano,€1.5M,Right,32,178cm,69kg,CB,2023,Andoni Iraola,1.03 Years
Sergio Moreno,22,Spain,Rayo Vallecano,€1.6M,Right,29,178cm,75kg,ST,2023,Andoni Iraola,1.03 Years
E. Saveljich,30,Montenegro,Rayo Vallecano,€1.1M,Right,24,187cm,80kg,CB,2023,Andoni Iraola,1.03 Years
I. Arboleda,25,Colombia,Rayo Vallecano,€3.8M,Right,25,182cm,80kg,GK,2022,Andoni Iraola,1.03 Years
S. Dimitrievski,27,North Macedonia,Rayo Vallecano,€6M,Right,13,188cm,84kg,GK,2024,Andoni Iraola,1.03 Years
L. Zidane,23,France,Rayo Vallecano,€3.1M,Right,1,183cm,78kg,GK,2022,Andoni Iraola,1.03 Years
P. Zieliński,27,Poland,SSC Napoli,€29.5M,Right,20,180cm,75kg,CAM,2024,Luciano Spalletti,1.44 Years
Fabián,25,Spain,SSC Napoli,€42M,Left,8,189cm,70kg,CM,2023,Luciano Spalletti,1.44 Years
G. Di Lorenzo,27,Italy,SSC Napoli,€20.5M,Right,22,183cm,83kg,RB,2026,Luciano Spalletti,1.44 Years
A. Zambo Anguissa,25,Cameroon,SSC Napoli,€10.5M,Right,29,184cm,78kg,CDM,30-Jun-22,Luciano Spalletti,1.44 Years
F. Ghoulam,30,Algeria,SSC Napoli,€9M,Left,31,184cm,80kg,LB,2022,Luciano Spalletti,1.44 Years
L. Insigne,30,Italy,SSC Napoli,€65.5M,Right,24,163cm,59kg,LW,2022,Luciano Spalletti,1.44 Years
Mário Rui,30,Portugal,SSC Napoli,€12M,Left,6,170cm,67kg,LB,2025,Luciano Spalletti,1.44 Years
H. Lozano,25,Mexico,SSC Napoli,€31M,Right,11,175cm,70kg,RW,2024,Luciano Spalletti,1.44 Years
D. Mertens,34,Belgium,SSC Napoli,€20.5M,Right,14,169cm,61kg,CF,2022,Luciano Spalletti,1.44 Years
M. Politano,27,Italy,SSC Napoli,€27.5M,Left,21,171cm,67kg,RM,2024,Luciano Spalletti,1.44 Years
D. Demme,29,Germany,SSC Napoli,€18M,Right,4,172cm,71kg,CDM,2024,Luciano Spalletti,1.44 Years
K. Malcuit,29,France,SSC Napoli,€3.7M,Right,2,178cm,77kg,RB,2022,Luciano Spalletti,1.44 Years
S. Lobotka,26,Slovakia,SSC Napoli,€13.5M,Right,68,170cm,64kg,CM,2024,Luciano Spalletti,1.44 Years
V. Osimhen,22,Nigeria,SSC Napoli,€43M,Right,9,185cm,78kg,ST,2025,Luciano Spalletti,1.44 Years
E. Elmas,21,North Macedonia,SSC Napoli,€7M,Right,7,184cm,74kg,CAM,2025,Luciano Spalletti,1.44 Years
A. Ounas,24,Algeria,SSC Napoli,€6M,Left,33,172cm,65kg,CAM,2022,Luciano Spalletti,1.44 Years
L. Palmiero,25,Italy,SSC Napoli,€2.7M,Right,15,173cm,69kg,CAM,2023,Luciano Spalletti,1.44 Years
Z. Machach,25,France,SSC Napoli,€1.4M,Right,23,185cm,77kg,RM,2022,Luciano Spalletti,1.44 Years
A. Petagna,26,Italy,SSC Napoli,€10M,Left,37,190cm,85kg,ST,2024,Luciano Spalletti,1.44 Years
F. Costa,25,Italy,SSC Napoli,€1.8M,Left,3,175cm,70kg,LM,2022,Luciano Spalletti,1.44 Years
A. Rrahmani,27,Kosovo,SSC Napoli,€12M,Right,13,192cm,83kg,CB,2024,Luciano Spalletti,1.44 Years
K. Koulibaly,30,Senegal,SSC Napoli,€55.5M,Right,26,187cm,89kg,CB,2023,Luciano Spalletti,1.44 Years
Juan Jesus,30,Brazil,SSC Napoli,€2.5M,Left,5,185cm,83kg,CB,2022,Luciano Spalletti,1.44 Years
K. Manolas,30,Greece,SSC Napoli,€30M,Right,44,189cm,83kg,CB,2024,Luciano Spalletti,1.44 Years
G. Gaetano,21,Italy,SSC Napoli,€600K,Right,70,175cm,70kg,RM,2023,Luciano Spalletti,1.44 Years
A. Meret,24,Italy,SSC Napoli,€30M,Left,1,190cm,83kg,GK,2023,Luciano Spalletti,1.44 Years
D. Ospina,32,Colombia,SSC Napoli,€8.5M,Right,25,183cm,80kg,GK,2022,Luciano Spalletti,1.44 Years
M. Antonio,31,Jamaica,West Ham,€15M,Right,9,178cm,82kg,ST,2023,David Moyes,3.23 Years
T. Souček,26,Czech Republic,West Ham,€36M,Right,28,192cm,86kg,CDM,2024,David Moyes,3.23 Years
V. Coufal,28,Czech Republic,West Ham,€19M,Right,5,175cm,76kg,RB,2023,David Moyes,3.23 Years
A. Král,23,Czech Republic,West Ham,€12M,Right,33,186cm,76kg,CDM,30-Jun-22,David Moyes,3.23 Years
Pablo Fornals,25,Spain,West Ham,€23M,Right,8,178cm,67kg,CM,2024,David Moyes,3.23 Years
A. Cresswell,31,England,West Ham,€12.5M,Left,3,175cm,66kg,LB,2023,David Moyes,3.23 Years
N. Vlašić,23,Croatia,West Ham,€33.5M,Right,11,178cm,79kg,CAM,2026,David Moyes,3.23 Years
A. Masuaku,27,Congo DR,West Ham,€11M,Left,26,179cm,70kg,LWB,2024,David Moyes,3.23 Years
M. Noble,34,England,West Ham,€2.6M,Right,16,177cm,76kg,CM,2022,David Moyes,3.23 Years
D. Rice,22,England,West Ham,€43M,Right,41,185cm,80kg,CDM,2024,David Moyes,3.23 Years
J. Bowen,24,England,West Ham,€21M,Left,20,175cm,70kg,LM,2025,David Moyes,3.23 Years
18 P. Evra,36,France,West Ham,€775K,Left,27,174cm,75kg,CB,2018,David Moyes,3.23 Years
20 P. Zabaleta,34,Argentina,West Ham,€2M,Right,5,178cm,74kg,CB,2020,David Moyes,3.23 Years
A. Yarmolenko,31,Ukraine,West Ham,€6M,Left,7,190cm,83kg,CF,2022,David Moyes,3.23 Years
15 Nenê,32,Brazil,West Ham,€3.7M,Left,12,181cm,70kg,LW,2015,David Moyes,3.23 Years
R. Fredericks,28,England,West Ham,€7M,Right,24,181cm,74kg,RB,2022,David Moyes,3.23 Years
K. Zouma,26,France,West Ham,€30M,Right,4,190cm,95kg,CB,2025,David Moyes,3.23 Years
S. Benrahma,25,Algeria,West Ham,€14M,Right,22,172cm,67kg,CAM,2026,David Moyes,3.23 Years
M. Lanzini,28,Argentina,West Ham,€10.5M,Right,10,167cm,59kg,CAM,2023,David Moyes,3.23 Years
17 Arbeloa,33,Spain,West Ham,€1.4M,Right,5,183cm,78kg,CB,2017,David Moyes,3.23 Years
C. Dawson,31,England,West Ham,€7M,Right,15,188cm,77kg,CB,2023,David Moyes,3.23 Years
A. Ogbonna,33,Italy,West Ham,€10M,Left,21,191cm,86kg,CB,2022,David Moyes,3.23 Years
I. Diop,24,France,West Ham,€15M,Right,23,194cm,92kg,CB,2023,David Moyes,3.23 Years
B. Johnson,21,England,West Ham,€2.6M,Right,31,180cm,69kg,RB,2022,David Moyes,3.23 Years
21 F. Balbuena,28,Paraguay,West Ham,€4.8M,Right,4,188cm,85kg,CB,2021,David Moyes,3.23 Years
H. Ashby,19,Scotland,West Ham,€500K,Right,50,180cm,75kg,RB,2022,David Moyes,3.23 Years
A. Okoflex,19,Republic of Ireland,West Ham,€575K,Right,29,186cm,72kg,CAM,2023,David Moyes,3.23 Years
21 A. Diallo,17,England,West Ham,€525K,Right,66,173cm,63kg,RM,2022,David Moyes,3.23 Years
P. Ekwah Elimby,19,France,West Ham,€350K,Left,49,187cm,76kg,CB,2024,David Moyes,3.23 Years
Bernardo Rosa,20,Brazil,West Ham,€300K,Right,44,177cm,74kg,CAM,2022,David Moyes,3.23 Years
O. Ashley,21,England,West Ham,€200K,Right,52,180cm,82kg,RM,2022,David Moyes,3.23 Years
21 E. Longelo,19,England,West Ham,€275K,Left,56,178cm,70kg,LB,2023,David Moyes,3.23 Years
Mésaque Djú,22,Portugal,West Ham,€325K,Right,36,178cm,63kg,ST,2022,David Moyes,3.23 Years
D. Chesters,19,England,West Ham,€350K,Right,51,175cm,70kg,CAM,2022,David Moyes,3.23 Years
A. Alese,20,England,West Ham,€375K,Left,39,186cm,70kg,CB,2023,David Moyes,3.23 Years
A. Areola,28,France,West Ham,€26M,Right,13,195cm,94kg,GK,30-Jun-22,David Moyes,3.23 Years
J. Baptiste,17,England,West Ham,€500K,Right,75,183cm,75kg,CB,2023,David Moyes,3.23 Years
L. Fabiański,36,Poland,West Ham,€3.4M,Right,1,190cm,83kg,GK,2022,David Moyes,3.23 Years
D. Randolph,34,Republic of Ireland,West Ham,€950K,Right,35,188cm,78kg,GK,2023,David Moyes,3.23 Years
D. Martin,35,England,West Ham,€80K,Right,25,188cm,86kg,GK,2022,David Moyes,3.23 Years
M. Arnautović,32,Austria,Bologna,€21M,Right,9,192cm,83kg,ST,2024,Sinisa Mihajlovic,1.20 Years
R. Soriano,30,Italy,Bologna,€13.5M,Right,21,182cm,76kg,CAM,2023,Sinisa Mihajlovic,1.20 Years
L. De Silvestri,33,Italy,Bologna,€3.9M,Right,29,186cm,84kg,RB,2022,Sinisa Mihajlovic,1.20 Years
N. Domínguez,23,Argentina,Bologna,€12.5M,Right,8,179cm,73kg,CM,2024,Sinisa Mihajlovic,1.20 Years
21 R. Palacio,38,Argentina,Bologna,€1.9M,Right,24,176cm,70kg,RW,2021,Sinisa Mihajlovic,1.20 Years
N. Sansone,29,Italy,Bologna,€7.5M,Right,10,173cm,63kg,CAM,2023,Sinisa Mihajlovic,1.20 Years
M. Svanberg,22,Sweden,Bologna,€6M,Right,32,185cm,77kg,CAM,2023,Sinisa Mihajlovic,1.20 Years
R. Orsolini,24,Italy,Bologna,€12M,Left,7,183cm,73kg,CAM,2024,Sinisa Mihajlovic,1.20 Years
J. Schouten,24,Netherlands,Bologna,€10.5M,Right,30,185cm,74kg,CDM,2024,Sinisa Mihajlovic,1.20 Years
G. Medel,33,Chile,Bologna,€2.1M,Right,17,171cm,76kg,CB,2022,Sinisa Mihajlovic,1.20 Years
K. Michael,21,Nigeria,Bologna,€1.9M,Right,16,176cm,70kg,CAM,2024,Sinisa Mihajlovic,1.20 Years
I. Mbaye,26,Senegal,Bologna,€2.5M,Right,15,188cm,70kg,RB,2023,Sinisa Mihajlovic,1.20 Years
A. Olsen,21,Denmark,Bologna,€5.5M,Left,11,188cm,75kg,CAM,2024,Sinisa Mihajlovic,1.20 Years
M. Barrow,22,Gambia,Bologna,€15M,Right,99,183cm,70kg,CAM,30-Jun-22,Sinisa Mihajlovic,1.20 Years
21 O. Okwonkwo,22,Nigeria,Bologna,€2.3M,Right,50,173cm,72kg,ST,2021,Sinisa Mihajlovic,1.20 Years
21 C. Falletti,27,Uruguay,Bologna,€2M,Right,38,170cm,65kg,CAM,2021,Sinisa Mihajlovic,1.20 Years
F. Santander,30,Paraguay,Bologna,€1.8M,Right,19,187cm,84kg,ST,2022,Sinisa Mihajlovic,1.20 Years
A. Hickey,19,Scotland,Bologna,€3.2M,Right,3,175cm,72kg,LB,2024,Sinisa Mihajlovic,1.20 Years
M. Dijks,28,Netherlands,Bologna,€2.1M,Left,35,194cm,90kg,LB,2023,Sinisa Mihajlovic,1.20 Years
E. Vignato,20,Italy,Bologna,€4.1M,Right,55,175cm,67kg,CAM,2024,Sinisa Mihajlovic,1.20 Years
S. van Hooijdonk,21,Netherlands,Bologna,€1.9M,Right,20,190cm,80kg,ST,2025,Sinisa Mihajlovic,1.20 Years
A. Soumaoro,29,France,Bologna,€5M,Right,5,187cm,91kg,CB,2024,Sinisa Mihajlovic,1.20 Years
D. Falcinelli,30,Italy,Bologna,€1.6M,Left,92,186cm,75kg,ST,2022,Sinisa Mihajlovic,1.20 Years
A. Theate,21,Belgium,Bologna,€2.9M,Left,6,184cm,79kg,CB,30-Jun-22,Sinisa Mihajlovic,1.20 Years
K. Bonifazi,25,Italy,Bologna,€4M,Right,4,187cm,85kg,CB,2022,Sinisa Mihajlovic,1.20 Years
21 V. Antov,19,Bulgaria,Bologna,€1.6M,Right,26,185cm,75kg,CB,2022,Sinisa Mihajlovic,1.20 Years
L. Binks,19,England,Bologna,€3.1M,Left,2,188cm,86kg,CB,2024,Sinisa Mihajlovic,1.20 Years
M. Pagliuca,19,Italy,Bologna,€650K,Right,44,188cm,75kg,ST,2022,Sinisa Mihajlovic,1.20 Years
